Key,English,Dutch
Results.SocialDoerBalanceEmpathicSense,//TO BE FILLED,Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo NUTTIG bezig bent dat je anderen vergeet? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het MEEVOELEN? Zet dan je NUTTIGE kracht meer in en krijg dingen echt gedaan. Ben je te NUTTIG bezig? Start met MEEVOELEN en ontdek hoe snel je met iedereen verbindt! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Fijn hè? En zo makkelijk ook.
Results.SocialDoerBalanceEmpathicRight,//TO BE FILLED,Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo GRONDIG bezig bent dat je anderen vergeet? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het MEEVOELEN? Zet dan je GRONDIGE kracht meer in en krijg dingen echt goed gedaan. Ben je te GRONDIG bezig? Start met MEEVOELEN en ontdek hoe je met iedereen verbindt! Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Fijn hè? En zo makkelijk ook.
Results.SocialDoerMatchHelpfulSense,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Nuchtere mensen die graag hun handen uit de mouwen steken, maar ook graag een praatje maken. Teamworkers die het fijn vinden echt iemand te hebben die ze een veilig en kalm gevoel geeft. Je kunt zorgeloosheid bieden omdat je echt klaarstaat en echt datgene doet en/of maakt wat nodig is.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt lekker gewerkt wordt. Plekken waar mensen elkaar helpen en lekker bezig zijn. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND?Je kunt mensen al heel snel een fijn gevoel van vertrouwen geven als je er mee in gesprek bent. Ze voelen al snel dat het bij jou wel goed komt. Je bent sociaal geïnteresseerd en krijgt echt energie van anderen op zinvolle manier te helpen. Omdat je dat veel energie geeft straal je positiviteit uit als je dit doet of het er over hebt. Dat maakt je aantrekkelijk voor anderen."
Results.SocialDoerMatchHelpfulRight,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die een sociaal praatje belangrijk vinden, maar die tevens ook net als jij van aanpakken houden, al helemaal als er aan iets wezenlijks gebouwd moet worden dat echt goed en (eventueel) langer houdbaar moet zijn, iets wat echt sterk is.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt lekker gewerkt wordt. Maar niet te haastig, met overleg en een goed plan. Plekken waar mensen elkaar helpen en lekker bezig zijn. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND?Je hebt de unieke combinatie die mensen enerzijds het gevoel geeft dat ze gehoord worden en er echt goed naar ze geluisterd wordt en tegelijkertijd werk je ook nog eens hard, zeker als je daarmee echt iets goeds en gedegens neer kan zetten. Je bent hartstikke service-gericht en nuchter in je werkproces zonder je sociale gedrag uit het oog te verliezen. Fijn!"
Results.SocialDoerMatchEmpathicSense,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die graag ECHT gehoord worden en die het heerlijk vinden als ze echt heel persoonlijke aandacht krijgen. Als iemand de tijd neemt voor ze zonder door te slaan in nutteloos tijdsverdrijf of gesprekken en (ook heel belangrijk) daadwerkelijk met zinvolle resultaten komt, er iets gemaakt wordt.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar iedereen lekker bezig is. Belangrijk is het voor je dat er ruimte is voor de gevoelens van jezelf en anderen. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND? Je hebt de unieke combinatie die snel een diepere verbinding kan leggen met mensen en die ook snel kan vinden waarmee je de mensen echt verder helpt. Je neemt de tijd en luistert goed, zonder de klok en het nut uit het oog te verliezen. Dus een fijne combinatie tussen zinvol en aandachtig."
Results.SocialDoerMatchEmpathicRight,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die graag ECHT gehoord worden en die het heerlijk vinden als ze echt heel persoonlijke aandacht krijgen. Mensen die van zekerheid en positieve bevestiging houden. Iemand die de tijd om echt iets GOEDS neer te zetten waarbij de wensen en behoeften van de klant centraal staan.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt lekker gewerkt wordt. Maar niet te haastig, met overleg en een goed plan. Ook moet er ruimte zijn voor elkaars gevoelens. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND? Je hebt de unieke combinatie die snel een diepere verbinding kan
leggen met mensen en die ook snel kan vinden waarmee je de mensen echt verder helpt. Je neemt de tijd en luistert goed, vervolgens kun je iets neerzetten dat staat als een huis. Hiermee breng je veel vertrouwen, iets wat mensen waarschijnlijk snel zullen ervaren en wat jou bijzonder maakt.
"
Results.PioneerTitle,Pioneer,
Results.PioneerDescDetailed,//TO BE FILLED,"Als pionier krijg je waarschijnlijk meer energie van: alles wat vernieuwend en anders is, waar nieuwe ontdekkingen te vinden zijn en waar ruimte is voor groei. De plekken waar iets te beleven is. Waar je ook nieuwe dingen kunt leren en waar je vooruit kunt komen. Je houdt niet van regelmaat, of beter gezegd, liever niet te veel. Verandering en groei geven je energie. Net als ondernemerschap of het vervullen van een ondernemende rol. Afwisseling is waarschijnlijk belangrijk voor je. Het is belangrijk dat je je niet gaat vervelen. Jij brengt (als je in je kracht staat) leven in de brouwerij! Dat is super! Als pionier ben je gemiddeld wat extraverter, uitgesprokener, zeker als je je fijn en goed voelt. Ook heb je een jeugdige uitstraling en levenshouding, dat is reuze mooi!"
Results.PioneerCuriousProgressive,"You get a lot of energy from discovering new things, experiencing them, and getting things in motion. That is valuable for yourself and your environment! And... also a lot of fun!","Jij krijgt energie van nieuwe dingen ontdekken, ervaren en de boel in beweging te zetten. Dat is waardevol
voor jezelf en je omgeving! En... ook reuzeleuk!"
Results.PioneerCuriousPersevere,//TO BE FILLED,Tof! Jij krijgt energie van nieuwe dingen ontdekken en je lekker vast te bijten in dingen. Niet op te geven. Zo krijg je veel voor elkaar en dat is heel mooi en waardevol!
Results.PioneerPlayfulProgressive,//TO BE FILLED,Jij krijgt energie van nieuwe dingen en oplossingen verzinnen en de boel in beweging zetten. Doe dat maar lekker want het is heel leuk om dit te doen! Zowel voor jezelf als je omgeving.
Results.PioneerPlayfulPersevere,//TO BE FILLED,Jij krijgt energie van nieuwe dingen en oplossingen verzinnen en lekker door te gaan. Je bent waarschijnlijk vaak enthousiast. Hierdoor ben je al snel onstopbaar.
Results.PioneerBalanceCuriousProgressive,//TO BE FILLED,Herken je dat? Dat je soms te NIEUWSGIERIG bent en je jezelf vergeet? Of dat je zo VOORUITSTREVEND bent dat je anderen vergeet? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te NIEUWSGIERIG? Zet dan je VOORUITSTREVENDE kracht meer in en krijg dingen gedaan. Ben je te VOORUITSTREVEND? Focus op NIEUWSGIERIG en ontdek hoe je met iedereen verbindt! Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Fijn hè?
Results.PioneerBalanceCuriousPersevere,//TO BE FILLED,Herken je dat? Dat je soms te NIEUWSGIERIG bent dat het chaotisch wordt? Of dat je zo DOORZETTEND bent dat je te hard gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te NIEUWSGIERIG? Zet dan je DOORZETTENDE kracht meer in en krijg dingen gedaan. Ben je te DOORZETTEND? Focus op NIEUWSGIERIG en ontdek hoe je blik zich opent en je tempo als vanzelf verlaagt! Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Fijn hè?
Results.PioneerBalancePlayfulProgressive,//TO BE FILLED,Herken je dat? Dat je soms zo SPEELS bent dat het te chaotisch wordt? Of dat je zo VOORUITSTREVEND bent dat je te vurig wordt? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te SPEELS? Zet dan je VOORUITSTREVENDE kracht meer in en krijg dingen gedaan. Ben je te VOORUITSTREVEND? Focus op SPEELS en ontdek hoe je blik zich opent en je je meteen weer lichter voelt! Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Fijn hè?
Results.PioneerBalancePlayfulPersevere,//TO BE FILLED,Herken je dat? Dat je soms zo SPEELS bent dat het te chaotisch wordt? Of dat je zo DOORZETTEND bent dat je te snel gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te SPEELS? Zet dan je DOORZETTENDE kracht meer in en krijg dingen gedaan. Ben je te DOORZETTEND? Focus op SPEELS en ontdek hoe je blik zich opent en je meteen ook meer ziet wat er om je heen gebeurt! Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Reuze fijn!
Results.PioneerMatchCuriousProgressive,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die iets vernieuwends willen en echt behoefte hebben aan groei en impact. Zij zullen zich hierdoor eerder aangetrokken voelen. Net zoals ze het fijn vinden om even een praatje met je te maken, hoe gaat het met jou? Je voelt mensen ook goed aan en stelt (als je je fijn voelt) graag vragen om meer te weten te komen. Nieuwsgierige mensen vind je leuk!
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, startups uit de grond stampen. Plekken waar vernieuwing en innovatie is. Ruimte voor groei. Plekken waar mensen nieuwsgierig zijn en op een creatieve manier onderzoeken.
WAT MAAKT JE ONDERSCHEIDEND? Je verzint nieuwe dingen en denkt maar al te graag mee over hoe je hiermee iemand verder brengt. Dat is waardevol voor jezelf, maar ook de mensen om je heen. Zo kun je je omgeving van waardevolle adviezen voorzien. Vaak hebben deze een visionaire inslag. Groots denken is iets wat je graag doet en waar je aanleg voor hebt als je jezelf toestaat dit ook lekker in te zetten. Heb je dit nog niet ontdekt? Probeer het maar en geniet van de inzichten die je opdoet!"
Results.PioneerMatchCuriousPersevere,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die iets vernieuwends willen en van actie en beweging houden. Die graag willen weten wat voor inspiratie en vernieuwing er al is en wat mensen op dit moment in het algemeen bezighoudt, om ze te raken en tot actie aan te zetten. Deze mensen zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, maar waar ze ook gerealiseerd worden. Of op doorgebouwd. Plekken waar vernieuwing en innovatie is. Ruimte voor groei. Waar grote doelen nagestreefd worden en behaald! Waar mensen nieuwsgierig zijn en op een creatieve manier onderzoeken.
WAT MAAKT JE ONDERSCHEIDEND?Je vindt nieuwe dingen die heel potentierijk zijn en denkt maar al te graag mee over hoe je hiermee iemand verder brengt. Je bent bewegelijk en ondernemend, je stopt dan ook niet tot je de klant echt geholpen hebt en er echt actie is. Jij jouw klanten voorwaarts brengt, letterlijk en figuurlijk."
Results.PioneerMatchPlayfulProgressive,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die van vooruitgang houden in de breedste zin van het woord, mensen die daarbij een inspirator en motivator zoeken. Die verrast willen worden en getriggerd om nieuwe paden te nemen met een visionaire en authentieke kijk. Iemand die dat vlammetje kan aanwakkeren (bij velen). Deze mensen zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, originele of gekke dingen doen. Plekken waar vernieuwing en innovatie is. Ruimte voor groei. Plekken waar mensen spontaan zijn en lekker eigenzinnig.
WAT MAAKT JE ONDERSCHEIDEND? Je kijkt verder vooruit en bedenkt en ontwikkelt nieuwe dingen die echt een verschil kunnen maken. Die opvallen en meteen een leadership achtige uitstraling hebben. Inspirerend en verfrissend. Dingen waarvan anderen later zullen zeggen: Goh..., dat ik dat nog niet bedacht heb."
Results.PioneerMatchPlayfulPersevere,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die een beetje ingedut zijn of graag een vernieuwende boost willen die de boel echt in beweging zet. Vanuit inspiratie, maar zeker ook motivatie. Die willen dat er ook echt een positief verschil wordt gemaakt en dat de boel ook daadwerkelijk in gang wordt gezet. Deze mensen zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, originele of gekke dingen doen. Plekken waar vernieuwing en innovatie is, maar waar ze ook gerealiseerd worden. Of op doorgebouwd. Ruimte voor groei. Waar grote doelen nagestreefd worden en behaald! Plekken waar mensen spontaan zijn en lekker eigenzinnig.
WAT MAAKT JE ONDERSCHEIDEND? Je bedenkt en ontwikkelt nieuwe dingen die echt een verschil kunnen maken en je zorgt meteen ook dat de boel in beweging komt, dat dingen ook echt gerealiseerd worden. Het enthousiasme daarachter is aanstekelijk waardoor je echt een positieve en verfrissende veranderbrenger bent."
Results.CreatorTitle,Creator,
Results.CreatorDescDetailed,//TO BE FILLED,"Als je een creator bent krijg je waarschijnlijk meer energie van: creatieve ideeën en plannen verzinnen. En deze dan ook graag uitvoeren. Dat geeft je veel energie. Dingen op gevoel doen en creatief zijn is heel belangrijk voor je. Je ontdekt dan ook graag nieuwe dingen. Daarnaast doe je dingen graag met een bepaalde lichtheid en speelsheid, vind je het fijn om de tijd te nemen die nodig is. Je bent graag in het moment en verliest je in het hier en nu. Ook heb je een unieke eigen invalshoek. Je kunt heerlijk zen zijn in creatieve dingen waar je heerlijk met je handen kunt bezig zijn en echt dingen kunt maken. Als creator hou je niet van stilstaan, maar wel vanuit een rustige maar wel sprankelende houding."
Results.CreatorCuriousSense,//TO BE FILLED,"Jij vindt het leuk om innovatieve dingen te verzinnen en ook echt concreet toe te passen in de echte wereld. Dat is hartstikke waardevol, dus doe dat maar lekker!"
Results.CreatorCuriousRight,//TO BE FILLED,"Jij vindt het leuk om te ontdekken en te werken aan innovatieve, goed onderbouwde oplossingen. Oplossingen die sterk zijn en het liefst ook duurzaam. Mooi hoor!"
Results.CreatorPlayfulSense,//TO BE FILLED,"Jij vindt het leuk om nieuwe dingen en oplossingen te verzinnen en te maken die ook echt werken en nut hebben, hoe waardevol is dat!"
Results.CreatorPlayfulRight,//TO BE FILLED,Jij vindt het leuk om razendsnel nieuwe dingen en oplossingen te verzinnen die goed onderbouwd zijn. Gefundeerd dus. Hoe gaaf is dat!
Results.CreatorBalanceCuriousSense,//TO BE FILLED,"Herken je dat? Dat je soms zo NIEUWSGIERIG bent dat het chaotisch wordt? Of dat je zo NUTTIG bezig bent dat je het contact met anderen verliest? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te NIEUWSGIERIG? Zet dan je NUTTIGE kracht meer in en krijg vanzelf weer focus en dingen gedaan. Ben je te NUTTIG? Focus op NIEUWSGIERIG en ontdek hoe je blik zich opent, ook naar de mensen om je heen! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn!"
Results.CreatorBalanceCuriousRight,//TO BE FILLED,"Herken je dat? Dat je soms zo NIEUWSGIERIG bent dat het chaotisch wordt? Of dat je zo GRONDIG bezig bent dat je het contact met anderen verliest? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te NIEUWSGIERIG? Zet dan je GRONDIGE kracht meer in en krijg als vanzelf weer focus en dingen gedaan. Ben je te GRONDIG? Focus op NIEUWSGIERIG en ontdek hoe je blik zich opent, ook naar de mensen om je heen! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, dat is reuze fijn en makkelijk ook."
Results.CreatorBalancePlayfulSense,//TO BE FILLED,"Herken je dat? Dat je soms zo SPEELS bent dat het te onoverzichtelijk wordt? Of dat je zo NUTTIG bezig bent dat je het contact met je omgeving verliest? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te SPEELS? Zet dan je NUTTIGE kracht meer in en krijg vanzelf weer overzicht en dingen gedaan. Ben je te NUTTIG? Focus op SPEELS en ontdek hoe je blik naar de wereld zich opent, ook naar de mensen om je heen! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn!"
Results.CreatorBalancePlayfulRight,//TO BE FILLED,"Herken je dat? Dat je soms zo SPEELS bent dat het te onoverzichtelijk wordt? Of dat je zo GRONDIG bezig bent dat je het contact met je omgeving verliest? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te SPEELS? Zet dan je GRONDIGE kracht meer in en krijg vanzelf weer overzicht en dingen gedaan. Ben je te GRONDIG? Focus op SPEELS en ontdek hoe je blik naar de wereld zich opent, ook naar de mensen om je heen! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn!"
Results.CreatorMatchCuriousSense,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die verbetering zoeken en graag met de tijd meegaan, zijn een goede match met je. Ook mensen die niet houden van onnodig ‘zweverige’ of vage oplossingen. Gewoon vernieuwend en anders, maar dan wel lekker to the point.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, maar waar ook lekker echt concreet gewerkt wordt en gebouwd. Plekken waar vernieuwing en innovatie is. Waar mensen nieuwsgierig zijn en op een creatieve manier onderzoeken. Maar wel gewoon ook lekker nuchter bezig zijn. Voetjes in de klei.
WAT MAAKT JE ONDERSCHEIDEND? Je vindt nieuwe mogelijkheden en oplossingen en filtert ze uit op hoe zinnig ze zijn. Zo kom je snel met creatieve oplossingen waar mensen echt iets aan hebben. Ook ben je lekker bij de tijd. Handig nu we met zijn allen in een constante ontwikkelperiode leven."
Results.CreatorMatchCuriousRight,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die iets vernieuwends en anders willen, maar wel een gevoel van fundering, kwaliteit en comfort (het is sterk en onderbouwd), zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen plannen verzinnen, maar waar ook echt lekker concreet gewerkt wordt en gebouwd. Plekken waar innovatie is. Maar wel goed onderbouwd, met een goed plan. Daarnaast gewoon ook lekker nuchter bezig zijn. Voetjes in de klei.
WAT MAAKT JE ONDERSCHEIDEND? Je hebt niet persé de allernieuwste dingen, maar wel de alle allernieuwste dingen die zich (al) bewezen hebben of goed onderbouwd zijn. Dat vinden, inzetten en delen geeft je veel energie."
Results.CreatorMatchPlayfulSense,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die houden van openheid, vernieuwing en graag geinspireerd worden, maar daarbij niet de werkelijkheid willen verliezen. Dus inspirerende oplossingen verzinnen en realiseren.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, originele dingen doen, maar waar ook echt lekker concreet gewerkt, gebouwd en verbeterd wordt. Plekken waar mensen lekker spontaan en eigenzinnig zijn. Maar wel gewoon ook lekker nuchter bezig zijn. Voetjes in de klei.
WAT MAAKT JE ONDERSCHEIDEND? Je komt met sprankelende oplossingen die een ander niet zo snel had kunnen bedenken, je kunt goed improviseren en aanpassen op onverwachte situaties zonder de kwaliteit van wat je doet te verlagen. En het leuke is, jouw oplossing is altijd zinvol voor anderen."
Results.CreatorMatchPlayfulRight,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die echt iets nieuws en anders willen (iets dat echt opvalt omdat het uniek en inspirerend is), maar wel behoefte hebben aan een gevoel van fundering, kwaliteit en comfort (het is sterk en onderbouwd). Zij zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen aan het brainstormen zijn, plannen verzinnen, originele dingen doen, maar waar ook echt lekker grondig gewerkt, gebouwd wordt met een goed plan. Plekken waar mensen lekker spontaan en eigenzinnig zijn. Maar wel gewoon ook lekker nuchter bezig zijn. Voetjes in de klei.
WAT MAAKT JE ONDERSCHEIDEND?
Je vindt niet de allernieuwste dingen, je bedenkt ze gewoon zelf! Daarna ga je razendsnel over naar goede onderbouwing. Als het nodig is hou je daar met gemak al tijdens het (creatieve) ontwikkelproces rekening mee. Dat vinden, inzetten en delen geeft je veel energie."
Results.ConstructorTitle,Steady Constructor,
Results.ConstructorDescDetailed,//TO BE FILLED,"Als je een doorbouwer bent krijg je waarschijnlijk meer energie van: doorgaan, doorpakken. Je houdt niet van stilstaan, je houdt van bouwen, dingen maken of realiseren, doelen halen en doorgaan. Dat geeft je veel energie. Daarnaast kun je dingen met aandacht en rust doen, maar blijf je wel graag doorpakken. Jij bent als geen ander iemand die iets kan maken dat nuttig is, of degelijk in elkaar zit. Ook ben je de perfecte kracht als er snel en grondig iets gerealiseerd moet worden. Gogogo! Je kunt daarin misschien wat doorschieten, maar hé, zo krijgen we tenminste dingen gedaan! Als doorbouwer heb je van nature meer mannelijke energie, dit heeft trouwens niks te maken met of je man of vrouw bent.
"
Results.ConstructorProgressiveSense,//TO BE FILLED,Vooruitgang en beweging zijn belangrijk voor je. Je werkt graag aan dingen die nuttig zijn. Je stelt doelen en behaalt ze. Dat is reuzefijn!
Results.ConstructorProgressiveRight,//TO BE FILLED,Jij krijgt energie van initiatief nemen en dingen maken die goed onderbouwd zijn. Gefundeerd. Je houdt van groei en beweging. Voorwaartse energie waarmee je dingen voor elkaar krijgt! Mooi hoor!
Results.ConstructorPersevereSense,//TO BE FILLED,Jij krijgt energie van nuttige dingen doen en maken. Je bent daarbij niet te stoppen en blijft vooral lekker nuchter. Hoe fijn is dat!
Results.ConstructorPersevereRight,//TO BE FILLED,Jij krijgt energie van dingen maken die goed onderbouwd zijn. Gefundeerd. Daarbij ga je door. Je bent haast niet te stoppen.
Results.ConstructorBalanceProgressiveSense,//TO BE FILLED,"Herken je dat? Dat je soms zo NUTTIG bezig bent dat je niet echt meer vooruitkijkt? Of dat je zo VOORUITSTREVEND bent dat je voor de feiten uitloopt, te snel gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf
nu mag gaan balanceren! Ben je te NUTTIG bezig? Zet dan je VOORUITSTREVENDE kracht meer in en zie hoe je niet alleen dingen bouwt maar ook waar je naartoe bouwt. Ben je te VOORUITSTREVEND? Focus op NUTTIG en ontdek hoe je meer op een nuchtere wijze aan het werk gaat, waardoor je als vanzelf je tempo zult minderen en meer in het hier en nu bent. Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn en makkelijk ook nog."
Results.ConstructorBalanceProgressiveRight,//TO BE FILLED,"Herken je dat? Dat je soms zo GRONDIG bezig bent dat je als het ware blijft vasthangen in dingen? Of dat je zo VOORUITSTREVEND bent dat
je te snel gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te GRONDIG bezig? Zet dan je VOORUITSTREVENDE kracht meer in en zie hoe je als vanzelf weer snelheid maakt. Ben je te VOORUITSTREVEND? Focus op GRONDIG en ontdek hoe je, als vanzelf je tempo mindert en meer in het nu bent. Je hoeft jezelf niet in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren en jezelf te zijn. Hoe fijn is dat!"
Results.ConstructorBalancePersevereSense,//TO BE FILLED,"Herken je dat? Dat je soms zo NUTTIG bezig bent dat je niet echt meer vooruitkijkt? Of dat je zo DOORZETTEND bent dat je te snel gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te NUTTIG bezig? Zet dan je DOORZETTENDE kracht meer in en zie meer waar je naartoe bouwt. Ben je te DOORZETTEND? Focus op NUTTIG en ontdek hoe je jouw tempo zult minderen als dat zinvol voelt. Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn en makkelijk ook nog."
Results.ConstructorBalancePersevereRight,//TO BE FILLED,"Herken je dat? Dat je soms zo GRONDIG bezig bent dat je niet echt meer vooruitkijkt? Of dat je zo DOORZETTEND bent dat je te snel gaat? Je hoeft jezelf niet te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te GRONDIG bezig? Zet dan je DOORZETTENDE kracht meer in en zie ook duidelijker waar je naartoe bouwt. Ben je te DOORZETTEND? Focus op GRONDIG en ontdek hoe je meer op een nuchtere wijze aan het werk gaat, waardoor je als vanzelf je tempo zult minderen en meer in het hier en nu bent. Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Gewoon door lekker te balanceren, reuze fijn en makkelijk ook nog."
Results.ConstructorMatchProgressiveSense,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die vanuit rust en logica willen bouwen en groeien, zich niet te snel gek laten maken en die lekker rationeel ingesteld zijn, niet te moeilijk doen. Die houden van aanpakken als dat nodig is. Steady, stabiel en groeigericht. Lekker nuchter. Zij zullen zich hierdoor eerder aangetrokken voelen.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen echt concreet werken en bouwen. Waar gewerkt wordt aan groei. Waar beweging en dynamiek is. Waar mensen ook gewoon lekker nuchter zijn. Voetjes in de klei. Lekker aanpakken en vooruit gaan met zijn allen.
WAT MAAKT JE ONDERSCHEIDEND? Wat je ook doet, het heeft zin en het geeft zin! Om meer te doen en verder te gaan. Je werkt lekker door en laat je niet zoveel gek maken, maar wel altijd op een manier die resultaat en groei oplevert. Je bent stabiel en ondernemend. Je bent degene die verrassend slimme inzichten kan geven die vernieuwend zijn en groei/vooruitgang bevorderen."
Results.ConstructorMatchProgressiveRight,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die vooruit denken en die van de zekerheid van een vaste bodem houden en deze ook graag willen behouden, die zich aangetrokken voelen door de mogelijkheid om te groeien in degelijkheid en kracht. Die lekker nuchter zijn en rationeel ingesteld met de blik naar nu en naar voren gericht.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen echt concreet werken en bouwen. Aan dingen die goed zijn. Degelijk. Waar gewerkt wordt aan groei. Waar beweging en dynamiek is. Waar mensen ook gewoon lekker nuchter zijn. Voetjes in de klei. Lekker aanpakken en vooruit gaan met zijn allen. Maar wel goed onderbouwd, met een goed plan.
WAT MAAKT JE ONDERSCHEIDEND?
Je komt met vooruitstrevende inzichten en oplossingen die hout snijden, nu en in de toekomst. Je bekijkt de situatie zoals deze nu is en in de toekomst kan worden. Je ziet de potentie van dingen en weet de juiste dingen te bedenken en bevorderen om sterk te zijn/worden en te blijven."
